ID,probability
TEST_00000,0.0027848823008687434
TEST_00001,0.0030569377070478712
TEST_00002,0.15216508391744865
TEST_00003,0.10277322178117576
TEST_00004,0.5028669227858631
TEST_00005,0.12141072658714472
TEST_00006,0.45897181660412395
TEST_00007,0.3569163315626841
TEST_00008,0.29628826308399414
TEST_00009,0.0027389869534863334
TEST_00010,0.05737156998495853
TEST_00011,0.4607903823309607
TEST_00012,0.3849476042156045
TEST_00013,0.4134537972950972
TEST_00014,0.29176785099295416
TEST_00015,0.003073202016893527
TEST_00016,0.25296723621798295
TEST_00017,0.3608618207781421
TEST_00018,0.22250993086170592
TEST_00019,0.6915684379216649
TEST_00020,0.2555311245134221
TEST_00021,0.407966310635529
TEST_00022,0.26882209625869535
TEST_00023,0.2149724897261825
TEST_00024,0.3985176899258569
TEST_00025,0.0027822716389747626
TEST_00026,0.13146608146742939
TEST_00027,0.46664706963476926
TEST_00028,0.16670917634705032
TEST_00029,0.19216984816155347
TEST_00030,0.42654066855438594
TEST_00031,0.18398129745814526
TEST_00032,0.16913102020856313
TEST_00033,0.18391578799638852
TEST_00034,0.4017191910704936
TEST_00035,0.002785371969175678
TEST_00036,0.13335697371113492
TEST_00037,0.31998432592487314
TEST_00038,0.24457335985126433
TEST_00039,0.016400023185772925
TEST_00040,0.20218968367100099
TEST_00041,0.15320069531315014
TEST_00042,0.30179321318662644
TEST_00043,0.2936294893166404
TEST_00044,0.33518984562785237
TEST_00045,0.46669800452052557
TEST_00046,0.46344253511686284
TEST_00047,0.2433950742949244
TEST_00048,0.14183461661406094
TEST_00049,0.4096265252728208
TEST_00050,0.25759622606028343
TEST_00051,0.17890216673796447
TEST_00052,0.1291163315617086
TEST_00053,0.5407119180459403
TEST_00054,0.002797158169824028
TEST_00055,0.4214029909195962
TEST_00056,0.3029583603529465
TEST_00057,0.21631252679379992
TEST_00058,0.5148651053041655
TEST_00059,0.20048251384962457
TEST_00060,0.002802372106438045
TEST_00061,0.18299503190300373
TEST_00062,0.33514933693856197
TEST_00063,0.33263527489905054
TEST_00064,0.21838850623295264
TEST_00065,0.0029089289808331875
TEST_00066,0.26334057040477443
TEST_00067,0.21230794056522848
TEST_00068,0.2943613314757023
TEST_00069,0.46775587622380616
TEST_00070,0.3706498288160566
TEST_00071,0.3447627431709961
TEST_00072,0.21851335098258665
TEST_00073,0.2559230516987095
TEST_00074,0.14969727718132908
TEST_00075,0.246957112186051
TEST_00076,0.020116584895698973
TEST_00077,0.0030933793212000954
TEST_00078,0.11599813115425908
TEST_00079,0.2096802998460282
TEST_00080,0.3673398012070039
TEST_00081,0.002734966353415918
TEST_00082,0.214328421201224
TEST_00083,0.2007777356526987
TEST_00084,0.42995546394487916
TEST_00085,0.36901443991170646
TEST_00086,0.002758224169133496
TEST_00087,0.3800797594472095
TEST_00088,0.12755531447657426
TEST_00089,0.3878654534102205
TEST_00090,0.2711760014829666
TEST_00091,0.10441349394679669
TEST_00092,0.3356669705329556
TEST_00093,0.5389956372980798
TEST_00094,0.0027043066419597905
TEST_00095,0.0027812190221650776
TEST_00096,0.4537894398931219
TEST_00097,0.10640630135917048
TEST_00098,0.38249240484768277
TEST_00099,0.27255681084010064
TEST_00100,0.10173715526411806
TEST_00101,0.21035923896771502
TEST_00102,0.36770431369668855
TEST_00103,0.2872407412955614
TEST_00104,0.36001078435086736
TEST_00105,0.47733447941233964
TEST_00106,0.24936739986684553
TEST_00107,0.0027523419559161034
TEST_00108,0.33406670416037737
TEST_00109,0.0028221318228989676
TEST_00110,0.41896588597634854
TEST_00111,0.37138111800874296
TEST_00112,0.018837046335298806
TEST_00113,0.37513761423554914
TEST_00114,0.1881355200148167
TEST_00115,0.43451710546314015
TEST_00116,0.002728198147244679
TEST_00117,0.4485925179159173
TEST_00118,0.33576757140873137
TEST_00119,0.15014921630158543
TEST_00120,0.0028127361287840842
TEST_00121,0.0028209464783442552
TEST_00122,0.31690043665292045
TEST_00123,0.4902892913953196
TEST_00124,0.41347615101934987
TEST_00125,0.2466275900905982
TEST_00126,0.0029146169907939023
TEST_00127,0.07664737322863505
TEST_00128,0.2888041135620466
TEST_00129,0.39419560625518796
TEST_00130,0.23309043016113146
TEST_00131,0.4012121219392165
TEST_00132,0.002777009197065612
TEST_00133,0.25885112097794466
TEST_00134,0.3697466151189852
TEST_00135,0.0028040822080306485
TEST_00136,0.1836789154533745
TEST_00137,0.25402954433420977
TEST_00138,0.0786151461112888
TEST_00139,0.26028836725045373
TEST_00140,0.01915029545752135
TEST_00141,0.0028353013153354497
TEST_00142,0.30211494036886377
TEST_00143,0.0028713899524552573
TEST_00144,0.15866256676797297
TEST_00145,0.4466416144209351
TEST_00146,0.17031035093166585
TEST_00147,0.22126856835848185
TEST_00148,0.27000535652154684
TEST_00149,0.39774571869327685
TEST_00150,0.0028167255071725175
TEST_00151,0.00271483388135064
